LAMMPS Description

5299  atoms
4471  bonds
6120  angles
8109  dihedrals
1224  impropers

90  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 6.94
85 39.10
86 22.99
87 35.45
88 19.00
89 79.90
90 126.9

Atoms

1 1 5 -0.059333 0.675935 9.470046 39.243696
2 1 26 0.025278 0.027095 10.323029 39.495281
3 1 26 0.025278 1.399647 9.321079 40.057634
4 1 5 0.017574 1.397053 9.735090 37.903129
5 1 26 0.042065 0.605955 9.971062 37.175829
6 1 6 0.052049 2.127316 8.458569 37.466958
7 1 6 -0.170647 3.082754 7.846158 38.282758
8 1 25 0.147743 3.407322 8.333281 39.194944
9 1 6 -0.144067 3.634924 6.610031 37.939948
10 1 25 0.145343 4.389971 6.196599 38.590660
11 1 6 0.014967 3.222518 5.939012 36.782730
12 1 41 0.105271 4.693668 3.707454 36.941471
13 1 6 -0.144067 2.246724 6.546309 35.988505
14 1 25 0.145343 1.931123 6.074549 35.065293
15 1 6 -0.170647 1.699323 7.784770 36.323390
16 1 25 0.147743 0.938464 8.216763 35.684108
17 1 5 -0.152902 4.050992 3.298884 38.211531
18 1 5 -0.152902 4.800243 2.497750 36.084695
19 1 5 -0.152902 6.079513 4.183557 37.164675
20 1 32 0.122237 4.403886 2.300324 38.512593
21 1 32 0.122237 4.289334 3.994981 39.026861
22 1 32 0.122237 2.958364 3.258950 38.086373
23 1 32 0.122237 5.081448 2.774559 35.056352
24 1 32 0.122237 5.560072 1.801376 36.467615
