LAMMPS Description

5616  atoms
4572  bonds
5346  angles
6480  dihedrals
1188  impropers

87  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 24.305
85 40.08
86 19.02
87 35.45

Atoms

1 1 5 -0.051233 21.883844 26.927961 23.625268
2 1 26 -0.000556 21.415462 27.853187 23.227374
3 1 26 -0.000556 21.249051 26.063648 23.335484
4 1 5 0.030247 22.039843 27.019948 25.151727
5 1 26 0.028561 22.655747 27.924930 25.352855
6 1 6 0.077933 22.772470 25.781828 25.643666
7 1 6 -0.200132 22.215270 24.496441 25.497200
8 1 25 0.120991 21.239439 24.365498 25.048672
9 1 6 -0.123165 22.918006 23.365706 25.923014
10 1 25 0.137797 22.477565 22.384790 25.797488
11 1 6 -0.043312 24.186275 23.498432 26.497007
12 1 79 1.139467 25.090619 22.033470 27.004305
13 1 6 -0.123165 24.746533 24.771466 26.651892
14 1 25 0.137797 25.728368 24.888818 27.091185
15 1 6 -0.200132 24.045705 25.904985 26.228747
16 1 25 0.120991 24.503198 26.878729 26.350198
17 1 61 -0.686299 25.644475 21.232312 25.591152
18 1 61 -0.686299 26.428242 22.490841 27.979320
19 1 61 -0.686299 24.034472 21.018140 27.898641
20 1 5 -0.167947 20.650749 27.244437 25.807792
21 1 26 0.053829 20.199182 28.114225 25.280319
