LAMMPS Description

5327  atoms
4318  bonds
5049  angles
6120  dihedrals
1122  impropers

90  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 6.94
85 39.10
86 22.99
87 35.45
88 19.00
89 79.90
90 126.9

Atoms

1 1 5 -0.051233 25.484579 32.880057 24.127294
2 1 26 -0.000556 26.550015 33.177545 24.026846
3 1 26 -0.000556 25.304722 32.579023 25.181336
4 1 5 0.030247 25.153507 31.736325 23.155109
5 1 26 0.028561 25.393083 32.109487 22.134259
6 1 6 0.077933 23.668047 31.426985 23.252079
7 1 6 -0.200132 23.097391 30.950158 24.448379
8 1 25 0.120991 23.711965 30.772798 25.320968
9 1 6 -0.123165 21.723862 30.704508 24.530763
10 1 25 0.137797 21.300812 30.343865 25.459691
11 1 6 -0.043312 20.899021 30.933486 23.424961
12 1 79 1.139467 19.132117 30.648284 23.559172
13 1 6 -0.123165 21.456884 31.402122 22.230112
14 1 25 0.137797 20.830181 31.586975 21.367661
15 1 6 -0.200132 22.830740 31.647252 22.143470
16 1 25 0.120991 23.238356 32.018495 21.211667
17 1 61 -0.686299 18.459885 31.905072 24.515308
18 1 61 -0.686299 18.425556 30.662674 21.994038
19 1 61 -0.686299 18.876851 29.122381 24.302571
20 1 5 -0.167947 26.079639 30.522967 23.438733
21 1 26 0.053829 27.118553 30.922095 23.433744
22 1 26 0.053829 25.892321 30.121998 24.458223
23 1 5 0.061335 26.041854 29.378954 22.386141
24 1 26 0.066322 26.265541 29.838809 21.397228
25 1 6 0.022005 24.678981 28.711049 22.336870
26 1 6 -0.142215 24.146401 28.046546 23.457758
27 1 25 0.122111 24.706453 27.991599 24.381983
28 1 6 -0.138255 22.883470 27.449005 23.393046
29 1 25 0.125927 22.491588 26.943903 24.265696
30 1 6 -0.052124 22.135809 27.509026 22.210592
31 1 79 1.076745 20.509716 26.758073 22.109347
32 1 6 -0.138255 22.659393 28.164698 21.093070
33 1 25 0.125927 22.088356 28.216095 20.175001
34 1 6 -0.142215 23.920684 28.760855 21.153373
35 1 25 0.122111 24.302628 29.265898 20.275299
36 1 61 -0.647047 20.022594 26.228432 23.668565
37 1 61 -0.647047 19.407000 27.931499 21.519236
38 1 61 -0.647047 20.585257 25.431158 21.026329
39 1 5 -0.099102 27.201975 28.382015 22.683631
40 1 26 0.032456 28.131186 28.994020 22.695781
41 1 26 0.032456 27.091557 27.947911 23.700350
42 1 5 0.015778 27.428121 27.252340 21.636033
43 1 26 0.022425 27.509678 27.737986 20.637820
44 1 6 -0.035969 26.285664 26.251072 21.647950
45 1 6 -0.131756 25.995730 25.503620 22.806077
46 1 25 0.101496 26.571943 25.639494 23.711399
47 1 6 -0.139767 24.969626 24.558362 22.801270
48 1 25 0.14135 24.769577 23.984469 23.696867
49 1 6 -0.051918 24.215395 24.344142 21.645260
50 1 79 1.157597 22.927857 23.096760 21.659077
51 1 6 -0.139767 24.483648 25.092010 20.492176
52 1 25 0.14135 23.907713 24.936696 19.589869
53 1 6 -0.131756 25.511610 26.040520 20.492971
54 1 25 0.101496 25.712125 26.600635 19.588318
55 1 61 -0.691163 21.812706 23.484335 22.904936
56 1 61 -0.691163 22.133765 23.066594 20.136868
57 1 61 -0.691163 23.661561 21.575278 21.961614
58 1 5 -0.000586 28.799887 26.555159 21.910137
59 1 26 -0.010501 29.567219 27.360075 21.942753
60 1 26 -0.010501 28.794040 26.075339 22.912082
61 1 5 -0.032579 29.286067 25.537403 20.834301
62 1 26 0.137701 29.321108 26.079256 19.863199
63 1 6 -0.011695 28.338056 24.335568 20.707347
64 1 6 -0.095646 28.112271 23.459151 21.786536
65 1 25 0.111209 28.558516 23.655434 22.752551
66 1 6 -0.184492 27.380601 22.274601 21.607497
67 1 25 0.122822 27.288098 21.589630 22.440613
68 1 6 -0.022823 26.868207 21.930264 20.342299
69 1 5 0.164417 26.267610 20.546625 20.101812
70 1 6 -0.184492 26.991567 22.858377 19.294103
71 1 25 0.122822 26.591175 22.630416 18.314667
72 1 6 -0.095646 27.718142 24.046825 19.474340
73 1 25 0.111209 27.855693 24.706055 18.626689
74 1 26 -0.040461 25.223222 20.678608 19.747157
75 1 5 -0.072194 27.051100 19.660127 19.060223
76 1 26 0.004392 27.025005 20.168410 18.073373
77 1 26 0.004392 26.488867 18.708567 18.945453
78 1 5 0.060914 30.781039 25.099663 21.155291
79 1 26 -0.029666 31.394363 26.022331 21.247724
80 1 26 -0.029666 30.801397 24.601714 22.147999
81 1 5 -0.080441 31.507793 24.189142 20.095221
82 1 26 0.161633 31.534747 24.754918 19.137224
83 1 6 -0.033909 30.740773 22.922430 19.925700
84 1 6 -0.046469 30.578719 22.039797 21.009207
85 1 25 0.119472 31.000277 22.259518 21.981036
86 1 6 -0.154837 29.866067 20.863408 20.846316
87 1 25 0.088671 29.747579 20.196536 21.691346
88 1 6 -0.050237 29.308948 20.556681 19.600322
89 1 5 0.18978 28.532941 19.294283 19.434289
90 1 6 -0.154837 29.474918 21.437194 18.515555
91 1 25 0.088671 29.052572 21.217852 17.544031
92 1 6 -0.046469 30.187338 22.613802 18.678560
93 1 25 0.119472 30.305115 23.281320 17.833964
94 1 26 -0.043781 28.502576 18.731018 20.393786
95 1 5 -0.103886 29.256328 18.381038 18.380936
96 1 26 0.015134 29.243841 18.873795 17.385384
97 1 26 0.015134 28.647297 17.455208 18.289724
98 1 5 0.02372 32.992597 23.824315 20.465098
99 1 26 -0.032673 33.553116 24.777127 20.577914
100 1 26 -0.032673 33.021871 23.317783 21.452784
101 1 5 -0.070608 33.779323 22.935415 19.424436
102 1 26 0.047784 33.814332 23.498224 18.466675
103 1 6 -0.002343 33.188852 21.544453 19.187978
104 1 6 -0.14064 33.068950 20.618690 20.239295
105 1 25 0.145001 33.465575 20.852981 21.218951
106 1 6 -0.235918 32.343585 19.427706 20.064010
107 1 25 0.13736 32.200541 18.776967 20.917455
108 1 6 -0.03349 31.718626 19.136310 18.834178
109 1 5 0.334804 30.742623 17.953754 18.724012
110 1 6 -0.235918 31.954445 20.001222 17.747499
111 1 25 0.13736 31.505998 19.803701 16.782699
112 1 6 -0.14064 32.683269 21.189255 17.922361
113 1 25 0.145001 32.774670 21.870764 17.086103
114 1 26 -0.102684 30.706457 17.421606 19.700463
115 1 5 -0.093356 31.254975 16.948964 17.685604
116 1 26 -0.000797 32.275285 16.604764 17.958961
117 1 26 -0.000797 30.588221 16.060990 17.651391
118 1 26 -0.000556 24.858388 33.769212 23.898444
119 1 26 -0.040461 26.228897 19.980568 21.057563
120 1 26 0.047784 34.825107 22.811127 19.778147
121 1 26 -0.000797 31.287428 17.401634 16.672257
122 2 5 -0.051233 30.199055 38.195343 8.200299
123 2 26 -0.000556 31.249175 38.093467 8.547592
124 2 26 -0.000556 29.974555 39.276799 8.081866
125 2 5 0.030247 29.237489 37.530961 9.198729
126 2 26 0.028561 29.553204 36.466914 9.281849
127 2 6 0.077933 27.825342 37.604295 8.640024
128 2 6 -0.200132 27.189190 38.841913 8.421494
129 2 25 0.120991 27.687343 39.770012 8.668567
130 2 6 -0.123165 25.904105 38.892293 7.874014
131 2 25 0.137797 25.432174 39.852175 7.707136
132 2 6 -0.043312 25.236087 37.711964 7.533182
