LAMMPS Description

5646  atoms
4572  bonds
5346  angles
6480  dihedrals
1188  impropers

87  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 24.305
85 40.08
86 19.02
87 35.45

Atoms

1 1 5 -0.051233 15.250944 8.169875 39.081589
2 1 26 -0.000556 14.412398 7.447717 39.176841
3 1 26 -0.000556 14.824052 9.193689 39.022068
4 1 5 0.030247 16.099641 7.845235 37.841752
5 1 26 0.028561 16.456341 6.798490 37.967740
6 1 6 0.077933 17.289576 8.790866 37.802700
7 1 6 -0.200132 17.113695 10.181537 37.663971
8 1 25 0.120991 16.123609 10.605203 37.560015
9 1 6 -0.123165 18.216818 11.039926 37.665543
10 1 25 0.137797 18.063286 12.106710 37.563858
11 1 6 -0.043312 19.509639 10.526439 37.808849
12 1 79 1.139467 20.912109 11.645812 37.846105
13 1 6 -0.123165 19.695588 9.145793 37.942011
14 1 25 0.137797 20.689905 8.734906 38.057141
15 1 6 -0.200132 18.594573 8.283914 37.939064
16 1 25 0.120991 18.762217 7.220359 38.052966
17 1 61 -0.686299 20.902896 12.462645 39.355512
18 1 61 -0.686299 22.367990 10.751415 37.674225
19 1 61 -0.686299 20.756489 12.764646 36.553754
20 1 5 -0.167947 15.208167 7.885731 36.571306
21 1 26 0.053829 14.335665 7.229503 36.787583
22 1 26 0.053829 14.809607 8.910544 36.409644
23 1 5 0.061335 15.857750 7.340159 35.268028
24 1 26 0.066322 16.207366 6.306028 35.486637
25 1 6 0.022005 17.037565 8.191940 34.833915
26 1 6 -0.142215 16.877443 9.548275 34.492871
27 1 25 0.122111 15.900393 10.012101 34.526177
28 1 6 -0.138255 17.980689 10.316827 34.107628
