LAMMPS Description

3885  atoms
3077  bonds
3876  angles
4131  dihedrals
0  impropers

90  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 6.94
85 39.10
86 22.99
87 35.45
88 19.00
89 79.90
90 126.9

Atoms

1 1 5 0.23943 35.821421 33.702571 18.345311
2 1 63 -0.107446 35.671903 33.800328 16.928279
3 1 5 0.096748 35.437321 32.314218 18.903631
4 1 33 -0.083444 37.130395 33.983978 18.705853
5 1 33 -0.076564 34.143250 32.019189 18.506172
6 1 33 -0.076564 35.435127 32.469011 20.281562
7 1 5 0.239938 35.613909 35.172124 16.523680
8 1 5 0.031579 35.771971 35.317708 14.990032
9 1 33 -0.098346 36.627796 35.901959 17.134824
10 1 33 -0.098346 34.384027 35.709901 16.880102
11 1 5 0.417302 35.787310 36.820654 14.584968
12 1 63 -0.075238 34.658717 34.680860 14.370493
13 1 33 -0.094088 36.988623 34.736543 14.644054
14 1 33 -0.120596 34.607024 37.439063 14.959839
15 1 33 -0.120596 35.928923 36.969334 13.220149
16 1 33 -0.120596 36.843639 37.482735 15.185260
17 1 5 0.258717 34.960332 33.969436 13.179047
18 1 5 0.054096 33.665425 33.769285 12.380594
19 1 33 -0.09756 35.480801 32.728641 13.505970
20 1 33 -0.09756 35.864626 34.635887 12.365122
21 1 33 -0.120109 32.761999 33.045851 13.138255
22 1 33 -0.120109 33.942625 33.059727 11.225555
23 1 79 1.069374 32.890277 35.360501 11.914314
24 1 61 -0.610284 32.417590 36.187969 13.342591
25 1 61 -0.610284 31.520712 34.995377 10.945705
26 1 61 -0.610284 34.015305 36.295550 11.014075
27 1 5 0.244615 36.386650 31.124967 18.536336
28 1 33 -0.110109 36.313602 30.870420 17.177282
29 1 5 0.166751 36.012941 29.843739 19.350803
30 1 33 -0.110109 37.689172 31.474003 18.851872
31 1 33 -0.087619 34.709238 29.485562 19.046449
32 1 33 -0.087619 36.066792 30.178800 20.693345
33 1 5 0.133435 36.938252 28.599430 19.129099
34 1 33 -0.056543 36.801047 28.160191 17.825853
35 1 5 0.043406 36.592919 27.458360 20.149742
36 1 33 -0.056543 38.258765 28.967780 19.327154
37 1 33 -0.026439 35.246562 27.145711 20.040707
38 1 33 -0.026439 36.799471 28.000215 21.406386
39 1 5 -0.042189 37.406053 26.111739 20.000068
40 1 63 -0.05899 37.038118 25.621788 18.702126
41 1 5 0.198119 37.197809 25.246959 21.342788
42 1 33 -0.033517 38.756229 26.417412 19.952532
43 1 33 -0.070849 35.846000 25.055009 21.577529
44 1 33 -0.070849 37.660480 26.066768 22.357423
45 1 5 0.047327 36.667713 24.274100 18.519718
46 1 5 0.014492 36.086294 24.080223 17.100445
47 1 33 -0.023915 35.685865 23.885026 19.412716
48 1 33 -0.023915 37.794018 23.473942 18.602448
49 1 5 0.258874 34.851142 24.966527 16.830848
50 1 63 -0.046319 35.674816 22.719418 16.992728
51 1 33 -0.052305 37.077669 24.434273 16.186724
52 1 33 -0.07104 33.838531 24.685365 17.731001
53 1 33 -0.07104 34.377543 24.728799 15.553816
54 1 33 -0.07104 35.172591 26.305860 16.924055
55 1 5 0.242379 36.229180 22.011293 15.900631
56 1 5 0.030285 35.588908 20.619160 15.845637
57 1 33 -0.097617 37.595666 21.857043 16.078326
58 1 33 -0.097617 35.983269 22.660622 14.699389
59 1 33 -0.112266 35.844646 19.945333 17.027168
60 1 33 -0.112266 36.135958 19.899792 14.798373
61 1 79 1.088381 33.778525 20.711815 15.607236
62 1 61 -0.614813 33.070616 21.541772 16.934402
63 1 61 -0.614813 33.152237 19.114862 15.547017
64 1 61 -0.614813 33.435293 21.527549 14.134576
65 1 5 0.224162 37.955666 23.881900 21.589577
66 1 33 -0.097154 37.383504 22.856230 20.872323
67 1 5 0.152641 37.906442 23.463247 23.102693
68 1 33 -0.097154 39.280693 24.015440 21.210879
69 1 33 -0.114533 36.581298 23.445504 23.510116
70 1 33 -0.114533 38.577760 24.428784 23.836820
71 1 5 0.169008 38.537549 22.070331 23.443176
72 1 63 -0.058703 37.806701 21.084233 22.706934
73 1 5 0.283965 38.497626 21.861845 25.001490
74 1 33 -0.097241 39.860508 22.081245 23.027397
75 1 33 -0.09168 37.189977 21.798602 25.450407
76 1 33 -0.09168 39.135172 22.899591 25.657664
77 1 5 0.211916 38.086351 19.727554 23.025147
78 1 5 0.001658 37.636976 18.794922 21.878278
79 1 33 -0.094681 37.387903 19.365163 24.167087
80 1 33 -0.094681 39.445209 19.514680 23.214423
81 1 5 0.294487 36.156312 18.987685 21.496005
82 1 63 -0.046447 37.788721 17.452217 22.333598
83 1 33 -0.068202 38.398003 19.090115 20.748946
84 1 33 -0.089747 35.333723 18.744387 22.581806
85 1 33 -0.089747 35.824881 18.100954 20.486790
86 1 33 -0.089747 35.927875 20.272198 21.035627
87 1 5 0.23616 38.753642 16.685224 21.640121
88 1 5 0.049903 38.863204 15.310736 22.313611
89 1 33 -0.095009 40.000007 17.290888 21.704664
90 1 33 -0.095009 38.381791 16.513126 20.315609
91 1 33 -0.119297 39.240491 15.473748 23.635392
92 1 33 -0.119297 39.829641 14.558857 21.669791
93 1 79 1.089277 37.285721 14.385803 22.266448
94 1 61 -0.616384 35.979362 15.391330 22.749818
95 1 61 -0.616384 37.404413 13.069105 23.361509
96 1 61 -0.616384 37.030505 13.795090 20.674012
97 1 33 -0.083444 34.986074 34.606917 18.995646
98 1 33 -0.09168 39.155679 20.711716 25.393487
99 2 5 0.23943 8.503718 11.011495 14.307740
100 2 63 -0.107446 9.287415 10.360697 15.308826
101 2 5 0.096748 8.095382 12.450444 14.694348
102 2 33 -0.083444 9.200054 11.050057 13.109315
