#,Name of the polymer,CounterIon,Co-Ion,salt,Water-per-ion,concentration_of_salt_M,gr_minima_Ion_H2O,gr_peak_position_Ion_H2O,gr_peak_height_Ion_H2O,Nr_Ion_H2O,gr_minima_CG_H2O,gr_peak_position_CG_H2O,gr_peak_height_CG_H2O,Nr_CG_H2O_,gr_minima_CG_Ion,gr_peak_position_CG_Ion,gr_peak_height_CG_Ion,Nr_CG_Ion,Exp_act_coeff,Hopping_rate_Ion,"Diffcoeff (Oxy in H2O), A^2/ps",Diff_H2O_per_DH2O_inf,"Diffcoeff (Counterion), A^2/ps",Diff_Ion_per_DH2O_inf
2,PSbNMP_RCE,I-,K+,KI,6,0.02,4.45,3.65,6.5,4.7,5.5,3.55,2.3,6.1,6.15,4.15,5.8,1.9,0.300,,0.032,0.056,0.003,0.005
3,PSbNMP_RCE,I-,K+,KI,6,0.2,4.45,3.65,6.3,4.6,5.5,3.55,1.9,5,6.15,4.15,5.8,2.0,0.319,,0.032,0.056,0.002,0.004
4,PSbNMP_RCE,I-,K+,KI,6,0.5,4.45,3.65,6.2,4.6,5.5,3.55,1.8,4.5,6.15,4.15,5.6,2.2,0.476,9.8,0.031,0.055,0.004,0.007
5,PSbNMP_RCE,I-,K+,KI,6,1,4.55,3.65,6.0,4.7,5.0,3.55,1.5,3,6.15,4.15,5.1,2.5,0.663,8.7,0.022,0.039,0.004,0.007
12,PVAS_RCE,Na+,Cl-,NaCl,113,0.02,3.15,2.35,8.55,5.38,3.37,2.76,1.83,2.98,3.06,2.35,6.71,0.13,0.280898876,,0.315,0.557,0.089,0.157
13,PVAS_RCE,Na+,Cl-,NaCl,113,0.2,3.15,2.36,8.41,5.31,3.40,2.75,1.80,3.07,3.07,2.35,7.13,0.16,0.31835206,,0.303,0.535,0.102,0.180
14,PVAS_RCE,Na+,Cl-,NaCl,113,0.5,3.16,2.35,8.45,5.32,3.42,2.75,1.81,3.15,3.08,2.35,6.57,0.17,0.492509363,,0.273,0.482,0.091,0.160
15,PVAS_RCE,Na+,Cl-,NaCl,113,1,3.17,2.35,8.23,5.29,3.45,2.75,1.75,3.16,3.06,2.35,6.98,0.25,0.520599251,,0.247,0.436,0.073,0.129
16,PSbNMP_BCE,I-,K+,KI,6,0,4.45,3.65,5.74,4.10,5.44,3.55,2.08,5.27,6.25,4.15,5.16,1.79,,,0.017,0.029,0.001,0.002
17,PSbNMP_BCE,I-,K+,KI,6,0.02,4.44,3.64,5.93,4.18,5.44,3.55,2.17,5.33,6.24,4.16,4.81,1.81,0.160,,0.023,0.041,0.002,0.003
18,PSbNMP_BCE,I-,K+,KI,6,0.2,4.44,3.65,5.54,3.94,5.52,3.55,1.67,4.39,6.26,4.15,5.18,2.00,0.183,,0.015,0.027,0.001,0.003
19,PSbNMP_BCE,I-,K+,KI,6,0.5,4.44,3.65,5.80,3.95,5.50,3.55,1.85,4.73,6.06,4.16,4.71,1.99,0.272,,0.020,0.036,0.001,0.001
20,PSbNMP_BCE,I-,K+,KI,6,1,4.36,3.66,5.65,3.96,5.41,3.55,1.79,3.78,6.26,4.16,4.18,2.44,0.349,,0.019,0.034,0.001,0.001
22,AR103,Cl-,Na+,NaCl,16,0.03,3.85,3.15,7.4,7,5.95,4.45,2.1,17,5.95,4.85,2.4,1.3,0.110242086,,0.119,0.211,0.049,0.087
23,AR103,Cl-,Na+,NaCl,16,0.1,3.85,3.15,7.5,7,5.85,4.45,2.2,16,6.05,4.85,2.4,1.4,0.165363128,,0.126,0.222,0.062,0.109
24,AR103,Cl-,Na+,NaCl,16,0.3,3.85,3.15,7.3,7,5.85,4.45,2.1,16,6.05,4.85,2.3,1.5,0.186964618,,0.115,0.203,0.054,0.095
25,AR103,Cl-,Na+,NaCl,16,1,3.95,3.15,6.7,7,5.85,4.45,2.1,15,5.95,4.85,2.1,1.8,0.240595903,,0.085,0.150,0.030,0.053
27,AR204,Cl-,Na+,NaCl,22,0.03,3.85,3.15,6.7,7,6.05,4.35,2.1,19,6.15,4.85,2.4,1.1,0.086405959,,0.129,0.229,0.058,0.103
28,AR204,Cl-,Na+,NaCl,22,0.1,3.85,3.15,6.7,7,6.05,4.35,2.1,19,6.05,4.85,2.5,1.1,0.137057728,,0.123,0.218,0.041,0.072
29,AR204,Cl-,Na+,NaCl,22,0.3,3.85,3.15,6.7,7,5.95,4.35,2.1,18,6.25,4.85,2.2,1.3,0.178026071,,0.120,0.211,0.046,0.082
30,AR204,Cl-,Na+,NaCl,22,1,3.85,3.15,6.8,7,6.05,4.45,2.1,19,6.15,4.85,2.4,1.0,0.273370577,,0.137,0.242,0.083,0.146
