LAMMPS Description

5229  atoms
4471  bonds
6120  angles
8109  dihedrals
1224  impropers

90  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 6.94
85 39.10
86 22.99
87 35.45
88 19.00
89 79.90
90 126.9

Atoms

1 1 5 -0.059333 2.827467 31.741779 29.924439
2 1 26 0.025278 2.291684 30.828219 30.224797
3 1 26 0.025278 3.038696 31.692522 28.846756
4 1 5 0.017574 4.133354 31.877602 30.739049
5 1 26 0.042065 3.837368 31.817118 31.796980
6 1 6 0.052049 4.755913 33.251667 30.460838
7 1 6 -0.170647 5.087977 33.656598 29.164997
8 1 25 0.147743 5.015344 32.953537 28.343325
9 1 6 -0.144067 5.519201 34.959674 28.907198
10 1 25 0.145343 5.790652 35.210202 27.893295
11 1 6 0.014967 5.601831 35.902589 29.938498
12 1 41 0.105271 6.418844 38.062701 28.583604
13 1 6 -0.144067 5.241058 35.495951 31.225458
14 1 25 0.145343 5.329276 36.187566 32.055137
15 1 6 -0.170647 4.818120 34.192960 31.487984
16 1 25 0.147743 4.539338 33.921259 32.499253
17 1 5 -0.152902 5.190025 38.087043 27.757514
18 1 5 -0.152902 6.715105 39.462382 28.986006
19 1 5 -0.152902 7.588376 37.597655 27.800669
20 1 32 0.122237 5.182481 38.979588 27.112844
