LAMMPS Description

5331  atoms
4318  bonds
5049  angles
6120  dihedrals
1122  impropers

90  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 6.94
85 39.10
86 22.99
87 35.45
88 19.00
89 79.90
90 126.9

Atoms

1 1 5 -0.051233 32.200674 1.536846 35.308305
2 1 26 -0.000556 31.872119 1.406502 36.361304
3 1 26 -0.000556 33.061129 2.239302 35.296160
4 1 5 0.030247 31.040559 2.059117 34.445612
5 1 26 0.028561 30.216045 1.317694 34.541783
6 1 6 0.077933 31.500693 2.128870 32.998167
7 1 6 -0.200132 32.548100 2.984585 32.604675
8 1 25 0.120991 33.034574 3.629120 33.324735
9 1 6 -0.123165 32.982340 3.010276 31.276334
10 1 25 0.137797 33.792602 3.669589 30.992217
11 1 6 -0.043312 32.382652 2.182150 30.322304
12 1 79 1.139467 32.977227 2.200569 28.628950
13 1 6 -0.123165 31.337677 1.332179 30.701868
14 1 25 0.137797 30.866801 0.683526 29.975043
15 1 6 -0.200132 30.899444 1.305114 32.029384
16 1 25 0.120991 30.095759 0.632634 32.301576
17 1 61 -0.686299 34.497744 1.405575 28.588654
18 1 61 -0.686299 31.860197 1.377591 27.617006
19 1 61 -0.686299 33.135896 3.832167 28.120137
20 1 5 -0.167947 30.526542 3.407100 35.019310
21 1 26 0.053829 30.327453 3.225103 36.099084
22 1 26 0.053829 31.322194 4.181068 34.963311
23 1 5 0.061335 29.199573 3.942521 34.410525
24 1 26 0.066322 28.440377 3.136233 34.524416
25 1 6 0.022005 29.358464 4.283702 32.939370
26 1 6 -0.142215 30.257813 5.277670 32.509493
27 1 25 0.122111 30.852806 5.828202 33.226269
28 1 6 -0.138255 30.396530 5.566547 31.148043
29 1 25 0.125927 31.093745 6.333368 30.838052
30 1 6 -0.052124 29.641760 4.866102 30.199099
31 1 79 1.076745 29.811710 5.213881 28.447378
32 1 6 -0.138255 28.745006 3.879917 30.618831
33 1 25 0.125927 28.157657 3.333423 29.892236
34 1 6 -0.142215 28.602494 3.590035 31.977342
35 1 25 0.122111 27.903845 2.819220 32.276837
36 1 61 -0.647047 31.126226 6.290734 28.199583
37 1 61 -0.647047 30.103671 3.736084 27.627610
38 1 61 -0.647047 28.352542 5.915728 27.883839
39 1 5 -0.099102 28.700970 5.144672 35.267553
40 1 26 0.032456 28.632564 4.764550 36.311085
41 1 26 0.032456 29.456391 5.959330 35.272750
42 1 5 0.015778 27.296328 5.713339 34.909270
43 1 26 0.022425 26.585750 4.856691 34.896462
44 1 6 -0.035969 27.310758 6.411825 33.560271
45 1 6 -0.131756 28.131079 7.535525 33.340320
46 1 25 0.101496 28.775625 7.912222 34.123104
47 1 6 -0.139767 28.113428 8.196501 32.111816
48 1 25 0.14135 28.741339 9.065839 31.965366
49 1 6 -0.051918 27.281303 7.748319 31.083314
50 1 79 1.157597 27.253462 8.640496 29.528594
51 1 6 -0.139767 26.472684 6.622901 31.284402
52 1 25 0.14135 25.823396 6.264714 30.496933
53 1 6 -0.131756 26.487458 5.957590 32.514654
54 1 25 0.101496 25.846399 5.096456 32.655460
55 1 61 -0.691163 28.846935 8.666448 28.891328
56 1 61 -0.691163 26.185955 7.861313 28.432276
57 1 61 -0.691163 26.704422 10.236512 29.838513
58 1 5 -0.000586 26.819386 6.676027 36.044478
59 1 26 -0.010501 26.894358 6.108213 36.998269
60 1 26 -0.010501 27.510316 7.541723 36.130169
61 1 5 -0.032579 25.346016 7.176594 35.953738
62 1 26 0.137701 24.695324 6.274736 35.920247
63 1 6 -0.011695 25.100827 8.022449 34.695302
64 1 6 -0.095646 25.783336 9.235422 34.479404
65 1 25 0.111209 26.546058 9.564279 35.172913
66 1 6 -0.184492 25.427863 10.078765 33.414995
67 1 25 0.122822 25.924540 11.036088 33.321885
68 1 6 -0.022823 24.372472 9.736871 32.548336
69 1 5 0.164417 23.845998 10.750095 31.533838
70 1 6 -0.184492 23.770032 8.475132 32.691194
71 1 25 0.122822 22.968669 8.175829 32.028012
72 1 6 -0.095646 24.129684 7.628042 33.752276
73 1 25 0.111209 23.595886 6.694414 33.876430
74 1 26 -0.040461 23.933650 10.303888 30.520348
75 1 5 -0.072194 22.352932 11.199373 31.765241
76 1 26 0.004392 21.696288 10.310001 31.661599
77 1 26 0.004392 22.084107 11.893933 30.940581
78 1 5 0.060914 24.965840 7.951843 37.289421
79 1 26 -0.029666 25.187606 7.281297 38.148033
80 1 26 -0.029666 25.633320 8.833755 37.392077
81 1 5 -0.080441 23.466565 8.404712 37.456902
82 1 26 0.161633 22.838841 7.486243 37.425848
83 1 6 -0.033909 23.100348 9.318817 36.338012
84 1 6 -0.046469 23.763184 10.549725 36.180511
85 1 25 0.119472 24.547871 10.856420 36.859220
86 1 6 -0.154837 23.418458 11.396178 35.139849
87 1 25 0.088671 23.940821 12.338532 35.030585
88 1 6 -0.050237 22.408561 11.022252 34.246960
89 1 5 0.18978 22.049953 11.932615 33.121773
90 1 6 -0.154837 21.742545 9.793303 34.407195
91 1 25 0.088671 20.958525 9.486277 33.727935
92 1 6 -0.046469 22.087528 8.946669 35.447732
93 1 25 0.119472 21.566018 8.003820 35.556622
94 1 26 -0.043781 22.681043 12.848971 33.150732
95 1 5 -0.103886 20.556595 12.390303 33.286880
96 1 26 0.015134 19.882106 11.513007 33.189378
