LAMMPS Description

5347  atoms
4318  bonds
5049  angles
6120  dihedrals
1122  impropers

90  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 6.94
85 39.10
86 22.99
87 35.45
88 19.00
89 79.90
90 126.9

Atoms

1 1 5 -0.051233 39.323060 27.592253 36.127331
2 1 26 -0.000556 39.565930 26.536675 35.881337
3 1 26 -0.000556 39.556365 27.762645 37.199949
4 1 5 0.030247 37.845462 27.887181 35.823031
5 1 26 0.028561 37.693001 27.659366 34.744311
6 1 6 0.077933 37.578915 29.362203 36.077880
7 1 6 -0.200132 37.714842 29.917693 37.365165
8 1 25 0.120991 37.992200 29.297916 38.207494
9 1 6 -0.123165 37.500382 31.282838 37.575163
10 1 25 0.137797 37.614928 31.694423 38.569858
11 1 6 -0.043312 37.151328 32.114382 36.506384
12 1 79 1.139467 36.915972 33.871470 36.786656
13 1 6 -0.123165 37.008545 31.571422 35.224471
14 1 25 0.137797 36.742269 32.203557 34.387661
15 1 6 -0.200132 37.220525 30.205933 35.010973
16 1 25 0.120991 37.113493 29.810107 34.008928
17 1 61 -0.686299 38.457513 34.582900 37.037914
18 1 61 -0.686299 36.162591 34.578021 35.414693
19 1 61 -0.686299 35.922993 34.078754 38.171288
20 1 5 -0.167947 36.940401 26.923430 36.636941
21 1 26 0.053829 37.317359 25.897559 36.426790
22 1 26 0.053829 37.069229 27.098139 37.726943
23 1 5 0.061335 35.432310 26.925201 36.257730
24 1 26 0.066322 35.370802 26.715991 35.165989
25 1 6 0.022005 34.784403 28.266428 36.553153
26 1 6 -0.142215 34.720542 28.777963 37.863057
27 1 25 0.122111 35.128561 28.216528 38.693227
