LAMMPS Description

5401  atoms
4318  bonds
5049  angles
6120  dihedrals
1122  impropers

90  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 6.94
85 39.10
86 22.99
87 35.45
88 19.00
89 79.90
90 126.9

Atoms

1 1 5 -0.051233 1.933709 30.111527 15.597934
2 1 26 -0.000556 2.094420 31.210305 15.573381
3 1 26 -0.000556 2.110233 29.756636 16.635656
4 1 5 0.030247 2.870048 29.410480 14.600599
5 1 26 0.028561 2.650858 29.846852 13.600440
6 1 6 0.077933 2.550639 27.924010 14.592263
7 1 6 -0.200132 2.726574 27.132210 15.743891
8 1 25 0.120991 3.115323 27.563882 16.656635
9 1 6 -0.123165 2.394485 25.774560 15.729078
10 1 25 0.137797 2.530411 25.181919 16.624757
11 1 6 -0.043312 1.879399 25.187253 14.569186
12 1 79 1.139467 1.423333 23.451389 14.578412
13 1 6 -0.123165 1.705751 25.963974 13.418081
14 1 25 0.137797 1.305000 25.523606 12.514630
15 1 6 -0.200132 2.038554 27.321991 13.428667
16 1 25 0.120991 1.886773 27.905031 12.529081
17 1 61 -0.686299 -0.021175 23.284064 15.490010
18 1 61 -0.686299 1.163641 22.915238 12.967766
19 1 61 -0.686299 2.697238 22.552497 15.296283
20 1 5 -0.167947 4.346634 29.745767 14.943639
21 1 26 0.053829 4.401317 30.855223 15.012845
22 1 26 0.053829 4.612391 29.345902 15.945989
23 1 5 0.061335 5.403665 29.317395 13.886603
24 1 26 0.066322 5.097987 29.772256 12.917524
25 1 6 0.022005 5.465293 27.807251 13.739584
26 1 6 -0.142215 5.830103 26.979190 14.817927
27 1 25 0.122111 6.083608 27.407275 15.778838
28 1 6 -0.138255 5.868127 25.589689 14.662765
29 1 25 0.125927 6.150142 24.970716 15.503930
30 1 6 -0.052124 5.540620 25.009443 13.431159
31 1 79 1.076745 5.573183 23.229007 13.213568
32 1 6 -0.138255 5.180169 25.825505 12.355511
33 1 25 0.125927 4.925322 25.385561 11.399959
34 1 6 -0.142215 5.142857 27.213240 12.506155
35 1 25 0.122111 4.857019 27.823478 11.658884
36 1 61 -0.647047 5.822153 22.468263 14.732861
37 1 61 -0.647047 4.069402 22.736567 12.552291
38 1 61 -0.647047 6.843997 22.831999 12.133404
39 1 5 -0.099102 6.776489 29.952768 14.260668
