LAMMPS Description

5622  atoms
4572  bonds
5346  angles
6480  dihedrals
1188  impropers

87  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 24.305
85 40.08
86 19.02
87 35.45

Atoms

1 1 5 -0.051233 20.695147 24.048867 22.287917
2 1 26 -0.000556 20.136770 23.156781 22.643081
3 1 26 -0.000556 21.584890 24.185014 22.938914
4 1 5 0.030247 19.790552 25.291471 22.310658
5 1 26 0.028561 18.914747 25.057104 21.665042
6 1 6 0.077933 20.558663 26.465984 21.725669
7 1 6 -0.200132 21.724256 26.958157 22.344784
8 1 25 0.120991 22.086380 26.521727 23.266176
9 1 6 -0.123165 22.438112 28.015874 21.774382
10 1 25 0.137797 23.335196 28.377935 22.260276
11 1 6 -0.043312 22.003809 28.595759 20.578261
12 1 79 1.139467 22.952737 29.928342 19.839977
13 1 6 -0.123165 20.844022 28.117647 19.957942
14 1 25 0.137797 20.498265 28.554509 19.030390
15 1 6 -0.200132 20.126361 27.060917 20.526592
16 1 25 0.120991 19.237349 26.701646 20.023790
17 1 61 -0.686299 24.385636 29.257906 19.174450
18 1 61 -0.686299 22.027808 30.677197 18.601914
19 1 61 -0.686299 23.332982 31.073699 21.060531
20 1 5 -0.167947 19.260200 25.527192 23.750645
21 1 26 0.053829 18.818379 24.559308 24.077245
22 1 26 0.053829 20.101452 25.748294 24.442478
23 1 5 0.061335 18.138803 26.594763 23.895216
24 1 26 0.066322 17.318152 26.300857 23.202683
25 1 6 0.022005 18.637959 27.981274 23.528639
26 1 6 -0.142215 19.677093 28.601150 24.248048
27 1 25 0.122111 20.138946 28.100253 25.088681
28 1 6 -0.138255 20.129030 29.873914 23.884647
29 1 25 0.125927 20.929280 30.332724 24.449724
30 1 6 -0.052124 19.551652 30.542556 22.798208
31 1 79 1.076745 20.123152 32.171208 22.309089
32 1 6 -0.138255 18.517802 29.934376 22.081149
33 1 25 0.125927 18.065813 30.443843 21.239885
34 1 6 -0.142215 18.062740 28.664541 22.442162
35 1 25 0.122111 17.263100 28.213276 21.868666
36 1 61 -0.647047 21.532606 32.578321 23.201651
37 1 61 -0.647047 20.481797 32.138412 20.632353
38 1 61 -0.647047 18.874937 33.305429 22.617051
39 1 5 -0.099102 17.551465 26.516586 25.336463
40 1 26 0.032456 17.230792 25.460207 25.475614
41 1 26 0.032456 18.343092 26.712593 26.090959
42 1 5 0.015778 16.302236 27.401084 25.622570
43 1 26 0.022425 15.552961 27.182392 24.829039
44 1 6 -0.035969 16.659336 28.877690 25.623636
45 1 6 -0.131756 17.584954 29.393679 26.551531
46 1 25 0.101496 18.068418 28.745595 27.270099
47 1 6 -0.139767 17.881936 30.756672 26.573397
48 1 25 0.14135 18.586323 31.136956 27.301882
49 1 6 -0.051918 17.264360 31.626158 25.671339
50 1 79 1.157597 17.638768 33.377675 25.748221
51 1 6 -0.139767 16.354119 31.122990 24.733707
52 1 25 0.14135 15.868365 31.784609 24.029233
53 1 6 -0.131756 16.053651 29.757168 24.708686
54 1 25 0.101496 15.338273 29.388448 23.984383
55 1 61 -0.691163 19.330560 33.578729 25.540000
56 1 61 -0.691163 16.783511 34.207963 24.512191
57 1 61 -0.691163 17.149256 33.961418 27.285876
