LAMMPS Description

5727  atoms
4572  bonds
5346  angles
6480  dihedrals
1188  impropers

87  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 24.305
85 40.08
86 19.02
87 35.45

Atoms

1 1 5 -0.051233 14.876564 19.110155 13.525616
2 1 26 -0.000556 14.236317 18.473439 12.878761
3 1 26 -0.000556 14.718293 18.804275 14.581723
4 1 5 0.030247 14.539671 20.595427 13.317417
5 1 26 0.028561 14.691850 20.805671 12.235095
6 1 6 0.077933 15.501648 21.435162 14.142724
7 1 6 -0.200132 15.525890 21.349055 15.548478
8 1 25 0.120991 14.841602 20.695874 16.073523
9 1 6 -0.123165 16.440936 22.101928 16.289821
10 1 25 0.137797 16.449957 22.019257 17.369183
11 1 6 -0.043312 17.346697 22.947925 15.642149
12 1 79 1.139467 18.539634 23.879358 16.606845
13 1 6 -0.123165 17.327283 23.044707 14.246173
14 1 25 0.137797 18.024556 23.692597 13.731589
15 1 6 -0.200132 16.412124 22.294444 13.501412
16 1 25 0.120991 16.421991 22.378556 12.422034
17 1 61 -0.686299 19.732575 22.786442 17.179593
