LAMMPS Description

4098  atoms
3258  bonds
4104  angles
4374  dihedrals
0  impropers

87  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 24.305
85 40.08
86 19.02
87 35.45

Atoms

1 1 5 0.23943 19.379731 37.444779 11.985788
2 1 63 -0.107446 20.151996 37.877440 10.864939
3 1 5 0.096748 20.240604 36.870949 13.133130
4 1 33 -0.083444 18.623135 38.497861 12.476880
5 1 33 -0.076564 21.025185 35.846376 12.628828
6 1 33 -0.076564 19.331990 36.314674 14.020620
7 1 5 0.239938 19.327794 37.984705 9.699575
8 1 5 0.031579 20.051749 38.745798 8.561645
9 1 33 -0.098346 18.152488 38.666094 9.997046
10 1 33 -0.098346 19.015020 36.714403 9.233361
11 1 5 0.417302 19.106953 38.920175 7.336854
12 1 63 -0.075238 21.184412 37.976647 8.168936
13 1 33 -0.094088 20.395744 39.999860 9.058324
14 1 33 -0.120596 18.708178 37.687730 6.848907
15 1 33 -0.120596 19.736052 39.598322 6.312528
16 1 33 -0.120596 17.979998 39.644900 7.682218
17 1 5 0.258717 22.344984 38.733033 7.856545
18 1 5 0.054096 23.285179 37.868759 7.005995
19 1 33 -0.09756 22.994561 39.080226 9.029084
20 1 33 -0.09756 22.062186 39.887141 7.140696
21 1 33 -0.120109 23.644413 36.738164 7.717536
22 1 33 -0.120109 24.429634 38.588150 6.710826
23 1 79 1.069374 22.506269 37.343819 5.435015
24 1 61 -0.610284 21.162874 36.335382 5.790619
25 1 61 -0.610284 23.691404 36.479876 4.542666
26 1 61 -0.610284 22.007507 38.734285 4.558501
27 1 5 0.244615 21.138803 37.889839 13.911302
28 1 33 -0.110109 22.133460 38.369799 13.076166
29 1 5 0.166751 21.766909 37.222358 15.177995
30 1 33 -0.110109 20.356819 38.954996 14.325906
31 1 33 -0.087619 22.549925 36.151640 14.776732
32 1 33 -0.087619 20.723729 36.731324 15.944965
33 1 5 0.133435 22.630835 38.160814 16.087165
34 1 33 -0.056543 23.753879 38.559904 15.387376
35 1 5 0.043406 23.024449 37.436185 17.422451
36 1 33 -0.056543 21.896454 39.289645 16.411336
37 1 33 -0.026439 23.670966 36.247805 17.118993
38 1 33 -0.026439 21.830480 37.119154 18.046433
39 1 5 -0.042189 23.955335 38.243142 18.412021
40 1 63 -0.05899 25.173212 38.428925 17.675581
41 1 5 0.198119 23.914457 37.514075 19.847603
42 1 33 -0.033517 23.402879 39.497980 18.609113
43 1 33 -0.070849 24.271482 36.182285 19.712691
44 1 33 -0.070849 22.577365 37.528385 20.204839
45 1 5 0.047327 26.422707 38.165381 18.272274
46 1 5 0.014492 27.532932 38.203979 17.197155
47 1 33 -0.023915 26.463436 36.908006 18.846904
48 1 33 -0.023915 26.715113 39.164724 19.184126
49 1 5 0.258874 27.307730 37.179961 16.063802
50 1 63 -0.046319 28.760305 37.872819 17.842598
51 1 33 -0.052305 27.528980 39.478467 16.632597
52 1 33 -0.07104 27.267939 35.891361 16.566431
53 1 33 -0.07104 28.343544 37.260166 15.151509
54 1 33 -0.07104 26.128161 37.434558 15.393260
