LAMMPS Description

4179  atoms
3258  bonds
4104  angles
4374  dihedrals
0  impropers

87  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 24.305
85 40.08
86 19.02
87 35.45

Atoms

1 1 5 0.23943 15.240495 23.423675 19.334233
2 1 63 -0.107446 15.986742 24.381847 18.582627
3 1 5 0.096748 15.745975 23.260582 20.784981
4 1 33 -0.083444 13.901177 23.781354 19.363985
5 1 33 -0.076564 17.094375 22.943822 20.751548
6 1 33 -0.076564 15.062221 22.161628 21.282416
7 1 5 0.239938 15.781286 24.188449 17.179320
8 1 5 0.031579 16.311609 25.389590 16.358178
9 1 33 -0.098346 14.426503 24.039192 16.902899
10 1 33 -0.098346 16.461481 23.051533 16.762654
11 1 5 0.417302 16.003634 25.192535 14.845075
12 1 63 -0.075238 17.722617 25.458294 16.540042
13 1 33 -0.094088 15.651458 26.526039 16.816851
14 1 33 -0.120596 16.608423 24.041670 14.369920
15 1 33 -0.120596 16.468655 26.255455 14.097514
16 1 33 -0.120596 14.640495 25.098197 14.627167
17 1 5 0.258717 18.251255 26.772050 16.645986
18 1 5 0.054096 19.754961 26.726544 16.344036
19 1 33 -0.09756 18.068017 27.236551 17.937497
20 1 33 -0.09756 17.665110 27.664214 15.760064
21 1 33 -0.120109 20.384637 25.896971 17.254476
22 1 33 -0.120109 20.286392 27.998494 16.462997
23 1 79 1.069374 20.100721 26.106705 14.656882
24 1 61 -0.610284 19.567046 24.478738 14.542754
25 1 61 -0.610284 21.797632 26.205045 14.415946
26 1 61 -0.610284 19.285661 27.095298 13.512856
27 1 5 0.244615 15.511868 24.472162 21.748161
28 1 33 -0.110109 16.281147 25.549037 21.341093
29 1 5 0.166751 15.856172 24.084050 23.223079
30 1 33 -0.110109 14.176956 24.837314 21.696884
31 1 33 -0.087619 17.189832 23.712880 23.287479
32 1 33 -0.087619 15.084557 22.981564 23.549758
33 1 5 0.133435 15.592406 25.190666 24.299873
34 1 33 -0.056543 16.448253 26.252594 24.076175
35 1 5 0.043406 15.773123 24.614151 25.748313
36 1 33 -0.056543 14.290635 25.648312 24.178989
37 1 33 -0.026439 17.037317 24.055639 25.858748
38 1 33 -0.026439 14.848502 23.591074 25.865845
39 1 5 -0.042189 15.601723 25.638739 26.939035
40 1 63 -0.05899 16.662229 26.585782 26.742774
41 1 5 0.198119 15.431773 24.799872 28.303413
42 1 33 -0.033517 14.408866 26.320484 26.763008
43 1 33 -0.070849 16.503099 23.936459 28.465007
44 1 33 -0.070849 14.317820 24.007756 28.085930
45 1 5 0.047327 17.485174 26.978139 27.817741
46 1 5 0.014492 18.683248 27.797598 27.285691
47 1 33 -0.023915 18.009977 25.888303 28.488330
48 1 33 -0.023915 16.772168 27.814013 28.659523
49 1 5 0.258874 19.544878 27.013580 26.272416
50 1 63 -0.046319 19.509903 28.114974 28.403108
51 1 33 -0.052305 18.171366 28.920388 26.637324
52 1 33 -0.07104 20.057198 25.864415 26.848312
53 1 33 -0.07104 20.602202 27.800025 25.853856
54 1 33 -0.07104 18.806271 26.664524 25.159559
55 1 5 0.242379 19.782588 29.492660 28.573580
56 1 5 0.030285 20.784197 29.653654 29.723304
57 1 33 -0.097617 18.619865 30.169573 28.909013
58 1 33 -0.097617 20.332004 30.045475 27.425703
59 1 33 -0.112266 20.243610 29.129603 30.884594
60 1 33 -0.112266 21.045849 30.997116 29.923721
61 1 79 1.088381 22.361843 28.797219 29.376228
62 1 61 -0.614813 22.068581 27.114420 29.193151
63 1 61 -0.614813 23.420014 29.039820 30.705716
64 1 61 -0.614813 23.063618 29.445028 27.948007
65 1 5 0.224162 15.129043 25.499396 29.688209
66 1 33 -0.097154 16.262367 26.075412 30.215091
67 1 5 0.152641 14.605792 24.467442 30.750514
68 1 33 -0.097154 14.165043 26.477026 29.509644
69 1 33 -0.114533 15.519478 23.428459 30.839979
70 1 33 -0.114533 13.401964 23.954224 30.293043
71 1 5 0.169008 14.373596 25.035014 32.192175
72 1 63 -0.058703 15.634233 25.523783 32.661726
73 1 5 0.283965 13.754361 23.902251 33.090393
74 1 33 -0.097241 13.467763 26.081450 32.104707
75 1 33 -0.09168 14.649027 22.857042 33.240667
76 1 33 -0.09168 12.591272 23.404752 32.530334
77 1 5 0.211916 15.691375 25.900657 34.030938
78 1 5 0.001658 16.891555 26.838925 34.288369
79 1 33 -0.094681 15.858335 24.770359 34.816899
80 1 33 -0.094681 14.548426 26.584551 34.422846
81 1 5 0.294487 18.230767 26.240589 33.814916
82 1 63 -0.046447 16.986729 27.036012 35.697374
83 1 33 -0.068202 16.688579 28.017349 33.572959
84 1 33 -0.089747 18.488099 25.043274 34.459145
85 1 33 -0.089747 19.255144 27.124324 34.105293
86 1 33 -0.089747 18.220030 26.024590 32.448410
87 1 5 0.23616 16.754774 28.359548 36.138634
88 1 5 0.049903 16.794351 28.378602 37.672544
89 1 33 -0.095009 15.499802 28.796291 35.740236
90 1 33 -0.095009 17.728796 29.216126 35.648964
91 1 33 -0.119297 15.820007 27.530214 38.169452
92 1 33 -0.119297 16.533377 29.660167 38.123443
93 1 79 1.089277 18.417605 27.853676 38.332604
94 1 61 -0.616384 18.952389 26.418433 37.554536
95 1 61 -0.616384 18.236538 27.538395 40.010326
96 1 61 -0.616384 19.553118 29.121030 38.099465
97 1 33 -0.083444 15.341121 22.157969 18.762878
98 1 33 -0.09168 13.398206 24.362896 34.343571
99 2 5 0.23943 28.467419 18.505979 38.395029
100 2 63 -0.107446 27.560637 19.550403 38.038917
101 2 5 0.096748 27.756874 17.206820 38.835586
102 2 33 -0.083444 29.304782 18.218879 37.327796
103 2 33 -0.076564 26.890601 17.505910 39.874697
104 2 33 -0.076564 28.764817 16.399218 39.340055
105 2 5 0.239938 28.222775 20.819210 38.063212
106 2 5 0.031579 27.368354 21.917344 37.383269
107 2 33 -0.098346 29.441244 20.743948 37.397035
108 2 33 -0.098346 28.443697 21.202699 39.379639
109 2 5 0.417302 28.143367 23.266940 37.350026
110 2 63 -0.075238 26.177516 22.084078 38.146711
111 2 33 -0.094088 27.120260 21.498162 36.079264
112 2 33 -0.120596 28.447354 23.686738 38.633535
113 2 33 -0.120596 27.396474 24.257776 36.745638
114 2 33 -0.120596 29.321269 23.142054 36.634845
115 2 5 0.258717 25.001390 22.309439 37.383443
116 2 5 0.054096 23.937728 22.944586 38.288753
117 2 33 -0.09756 24.522624 21.098767 36.911852
118 2 33 -0.09756 25.209232 23.160332 36.307728
119 2 33 -0.120109 23.654069 22.090041 39.338931
120 2 33 -0.120109 22.779119 23.151643 37.561305
121 2 79 1.069374 24.487397 24.549050 38.977085
122 2 61 -0.610284 25.845240 24.281774 39.993420
123 2 61 -0.610284 23.175460 25.193159 39.877736
124 2 61 -0.610284 24.892494 25.608934 37.687519
125 2 5 0.244615 26.992691 16.414882 37.722344
126 2 33 -0.110109 25.904961 17.152380 37.286342
127 2 5 0.166751 26.526853 15.019958 38.253136
128 2 33 -0.110109 27.845176 16.207739 36.650749
129 2 33 -0.087619 25.675024 15.213283 39.329043
130 2 33 -0.087619 27.653265 14.355108 38.707839
131 2 5 0.133435 25.812567 14.095794 37.209405
132 2 33 -0.056543 24.614160 14.675273 36.837610
133 2 5 0.043406 25.587080 12.658812 37.798682
134 2 33 -0.056543 26.607054 13.977528 36.080927
135 2 33 -0.026439 24.881192 12.762704 38.987482
136 2 33 -0.026439 26.847261 12.171122 38.097886
137 2 5 -0.042189 24.814539 11.634264 36.876479
138 2 63 -0.05899 23.512841 12.217604 36.717174
139 2 5 0.198119 25.032896 10.155217 37.475518
140 2 33 -0.033517 25.414319 11.629101 35.627916
141 2 33 -0.070849 24.633497 10.117659 38.801565
142 2 33 -0.070849 26.405877 9.980413 37.473387
143 2 5 0.047327 22.349696 11.439400 36.885191
144 2 5 0.014492 21.106084 12.357530 36.906159
145 2 33 -0.023915 22.360558 10.750234 38.084266
146 2 33 -0.023915 22.203240 10.593652 35.799410
147 2 5 0.258874 21.155679 13.410722 38.034053
148 2 63 -0.046319 19.970009 11.527859 37.137863
149 2 33 -0.052305 21.060494 13.033492 35.687939
150 2 33 -0.07104 21.235990 12.800340 39.273284
151 2 33 -0.07104 20.008533 14.181837 38.001525
152 2 33 -0.07104 22.239437 14.251750 37.879230
153 2 5 0.242379 18.939871 11.641193 36.174843
154 2 5 0.030285 17.745501 10.797330 36.635694
155 2 33 -0.097617 19.375319 11.151457 34.952880
156 2 33 -0.097617 18.524316 12.957137 36.031000
157 2 33 -0.112266 18.134334 9.475030 36.761348
158 2 33 -0.112266 16.734688 10.874045 35.694477
159 2 79 1.088381 17.089693 11.367714 38.244261
160 2 61 -0.614813 18.309839 11.214472 39.443884
161 2 61 -0.614813 15.755155 10.377192 38.673207
162 2 61 -0.614813 16.580812 13.003119 38.108433
163 2 5 0.224162 24.489969 8.863356 36.744105
164 2 33 -0.097154 23.135749 8.712327 36.936717
165 2 5 0.152641 25.176711 7.561579 37.292716
166 2 33 -0.097154 24.746560 8.960015 35.386990
167 2 33 -0.114533 25.018661 7.529157 38.669771
168 2 33 -0.114533 26.531418 7.639177 37.008779
169 2 5 0.169008 24.636466 6.211264 36.710287
170 2 63 -0.058703 23.247678 6.131604 37.047188
171 2 5 0.283965 25.500476 5.028891 37.283768
172 2 33 -0.097241 24.783662 6.244761 35.331728
173 2 33 -0.09168 25.343689 4.932687 38.655495
174 2 33 -0.09168 26.843388 5.216928 37.009584
175 2 5 0.211916 22.608409 4.889138 36.787083
176 2 5 0.001658 21.075284 5.068409 36.720475
177 2 33 -0.094681 22.888834 3.999126 37.812962
178 2 33 -0.094681 23.008678 4.350911 35.571463
179 2 5 0.294487 20.496907 5.744124 37.979262
180 2 63 -0.046447 20.495574 3.768860 36.629331
181 2 33 -0.068202 20.776301 5.889710 35.635225
182 2 33 -0.089747 20.783982 5.000956 39.110678
183 2 33 -0.089747 19.122227 5.842143 37.855563
184 2 33 -0.089747 21.009343 7.019744 38.135175
185 2 5 0.23616 19.813624 3.495666 35.420790
186 2 5 0.049903 19.341700 2.035677 35.443791
187 2 33 -0.095009 20.661121 3.651485 34.333641
188 2 33 -0.095009 18.712286 4.326356 35.282116
189 2 33 -0.119297 20.436685 1.199232 35.575678
190 2 33 -0.119297 18.703140 1.739941 34.252738
191 2 79 1.089277 18.182556 1.701388 36.818859
192 2 61 -0.616384 18.785007 2.351534 38.290481
193 2 61 -0.616384 18.029244 -0.000037 36.987943
194 2 61 -0.616384 16.653757 2.387232 36.441601
195 2 33 -0.083444 29.256088 18.882203 39.479022
196 2 33 -0.09168 25.169599 3.813894 36.714738
197 3 5 0.23943 14.916361 32.565095 5.412749
198 3 63 -0.107446 15.830605 33.656496 5.299208
199 3 5 0.096748 15.069443 31.777577 6.733036
200 3 33 -0.083444 13.612065 33.025187 5.314152
201 3 33 -0.076564 16.384033 31.355159 6.847288
202 3 33 -0.076564 14.272787 30.653653 6.575574
203 3 5 0.239938 15.953059 34.067998 3.933719
204 3 5 0.031579 16.677002 35.431902 3.815697
205 3 33 -0.098346 14.697135 34.192269 3.349480
206 3 33 -0.098346 16.694322 33.127737 3.229952
207 3 5 0.417302 16.725126 35.895516 2.330468
208 3 63 -0.075238 18.008328 35.266301 4.294118
209 3 33 -0.094088 15.945494 36.352634 4.560575
210 3 33 -0.120596 17.406390 34.974390 1.553655
211 3 33 -0.120596 17.366449 37.111353 2.206631
212 3 33 -0.120596 15.448332 36.047071 1.819234
213 3 5 0.258717 18.517486 36.359659 5.043762
214 3 5 0.054096 20.049386 36.274783 5.065056
215 3 33 -0.09756 18.046893 36.282196 6.343716
216 3 33 -0.09756 18.165895 37.591347 4.511120
217 3 33 -0.120109 20.438567 35.085336 5.654410
218 3 33 -0.120109 20.557624 37.324600 5.809371
219 3 79 1.069374 20.767428 36.352445 3.383204
220 3 61 -0.610284 20.250599 34.977364 2.494301
221 3 61 -0.610284 22.475252 36.352547 3.558029
222 3 61 -0.610284 20.254417 37.800764 2.615331
223 3 5 0.244615 14.636549 32.516809 8.043222
224 3 33 -0.110109 15.495126 33.574915 8.289014
225 3 5 0.166751 14.623917 31.532744 9.258136
226 3 33 -0.110109 13.355426 33.015818 7.876880
227 3 33 -0.087619 15.900693 31.023124 9.433336
228 3 33 -0.087619 13.781317 30.483969 8.929994
229 3 5 0.133435 14.134290 32.134114 10.619120
230 3 33 -0.056543 15.034357 33.095342 11.038794
231 3 5 0.043406 13.965878 31.007428 11.698574
232 3 33 -0.056543 12.902905 32.741560 10.436468
233 3 33 -0.026439 15.161636 30.316639 11.822235
234 3 33 -0.026439 13.024095 30.131782 11.186997
235 3 5 -0.042189 13.538475 31.478262 13.145163
236 3 63 -0.05899 14.629543 32.301575 13.583122
237 3 5 0.198119 13.044561 30.185451 13.969053
238 3 33 -0.033517 12.429134 32.299619 13.029377
239 3 33 -0.070849 14.036338 29.218131 13.971460
