LAMMPS Description

4107  atoms
3270  bonds
4122  angles
4374  dihedrals
0  impropers

90  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 6.94
85 39.10
86 22.99
87 35.45
88 19.00
89 79.90
90 126.9

Atoms

1 1 5 0.23943 38.584517 22.359708 4.021890
2 1 63 -0.107446 37.476761 23.258383 4.093668
3 1 5 0.096748 38.741823 21.485189 5.285713
4 1 33 -0.083444 38.454197 21.531610 2.917416
5 1 33 -0.076564 38.830148 22.315689 6.391201
6 1 33 -0.076564 39.963961 20.848396 5.132308
7 1 5 0.239938 37.623804 24.312894 3.136970
8 1 5 0.031579 36.308452 25.112759 2.968679
9 1 33 -0.098346 37.978432 23.796245 1.895424
10 1 33 -0.098346 38.608676 25.193874 3.564465
11 1 5 0.417302 36.469917 26.199513 1.865930
12 1 63 -0.075238 36.018705 25.749329 4.209471
13 1 33 -0.094088 35.323054 24.208907 2.581721
14 1 33 -0.120596 37.477713 27.087638 2.200017
15 1 33 -0.120596 35.305482 26.921963 1.701470
16 1 33 -0.120596 36.775053 25.622829 0.645742
17 1 5 0.258717 34.643736 25.777295 4.563474
18 1 5 0.054096 34.424597 26.876116 5.611781
19 1 33 -0.09756 34.287483 24.557217 5.112868
20 1 33 -0.09756 33.812759 26.044545 3.485312
21 1 33 -0.120109 35.188121 26.604664 6.732909
22 1 33 -0.120109 33.091059 26.900884 5.979868
23 1 79 1.069374 34.885330 28.531664 4.981600
24 1 61 -0.610284 36.570124 28.551373 4.651162
25 1 61 -0.610284 34.496103 29.669471 6.206803
26 1 61 -0.610284 33.982835 28.866854 3.559071
27 1 5 0.244615 37.640115 20.399700 5.527375
28 1 33 -0.110109 36.430626 21.014103 5.804503
29 1 5 0.166751 38.046872 19.446157 6.697788
30 1 33 -0.110109 37.497252 19.639048 4.378919
31 1 33 -0.087619 38.196589 20.196255 7.853428
32 1 33 -0.087619 39.277544 18.899501 6.374995
33 1 5 0.133435 37.059666 18.266065 6.991838
34 1 33 -0.056543 35.860749 18.781907 7.446491
35 1 5 0.043406 37.677421 17.268292 8.033872
36 1 33 -0.056543 36.816429 17.567867 5.820507
37 1 33 -0.026439 38.025601 17.967924 9.179125
38 1 33 -0.026439 38.843546 16.794801 7.458216
39 1 5 -0.042189 36.762077 16.058832 8.476963
40 1 63 -0.05899 35.644149 16.683564 9.125059
41 1 5 0.198119 37.691261 14.968744 9.213462
42 1 33 -0.033517 36.277188 15.435597 7.338924
43 1 33 -0.070849 38.374260 15.560671 10.263447
44 1 33 -0.070849 38.642634 14.629358 8.267237
45 1 5 0.047327 35.181527 16.216376 10.371836
46 1 5 0.014492 34.148144 17.209898 10.950632
47 1 33 -0.023915 36.205421 16.117594 11.296353
48 1 33 -0.023915 34.521923 15.012617 10.194222
49 1 5 0.258874 34.722795 18.629792 11.144271
50 1 63 -0.046319 33.761092 16.720680 12.232648
51 1 33 -0.052305 33.090892 17.293252 10.046015
52 1 33 -0.07104 35.801962 18.609402 12.010119
53 1 33 -0.07104 33.751322 19.456234 11.677990
54 1 33 -0.07104 35.126814 19.169281 9.939468
55 1 5 0.242379 32.368815 16.543073 12.410006
56 1 5 0.030285 32.108774 16.147845 13.868492
57 1 33 -0.097617 31.911872 15.520822 11.592169
58 1 33 -0.097617 31.670843 17.710323 12.135329
59 1 33 -0.112266 32.777704 14.970626 14.155102
60 1 33 -0.112266 30.753666 15.944409 14.057730
61 1 79 1.088381 32.673628 17.438207 15.034175
62 1 61 -0.614813 34.369085 17.657073 14.864305
63 1 61 -0.614813 32.333807 16.916991 16.633855
64 1 61 -0.614813 31.841615 18.906348 14.711259
65 1 5 0.224162 37.128335 13.572613 9.695718
66 1 33 -0.097154 36.403626 13.701010 10.858530
67 1 5 0.152641 38.289172 12.556660 9.991544
68 1 33 -0.097154 36.314263 13.038990 8.711099
69 1 33 -0.114533 39.167040 13.143104 10.890289
70 1 33 -0.114533 38.967451 12.323266 8.805232
71 1 5 0.169008 37.847726 11.172323 10.577355
72 1 63 -0.058703 37.184844 11.431268 11.819174
73 1 5 0.283965 39.114602 10.250074 10.711086
74 1 33 -0.097241 36.961334 10.587633 9.685357
75 1 33 -0.09168 40.005077 10.777144 11.630175
76 1 33 -0.09168 39.765055 10.120992 9.496922
77 1 5 0.211916 36.879626 10.295439 12.617157
78 1 5 0.001658 35.772331 10.630429 13.641230
79 1 33 -0.094681 38.008579 9.906874 13.322611
80 1 33 -0.094681 36.415664 9.237339 11.847223
81 1 5 0.294487 36.115263 11.853504 14.514237
82 1 63 -0.046447 35.640110 9.508680 14.511514
83 1 33 -0.068202 34.605789 10.934530 12.942378
84 1 33 -0.089747 37.287552 11.640623 15.217965
85 1 33 -0.089747 35.092404 12.070298 15.420555
86 1 33 -0.089747 36.254560 12.990803 13.738830
87 1 5 0.23616 34.399069 8.833954 14.442051
88 1 5 0.049903 34.458200 7.603997 15.357759
89 1 33 -0.095009 34.153450 8.391090 13.150555
90 1 33 -0.095009 33.368315 9.661646 14.860017
91 1 33 -0.119297 35.481339 6.769086 14.942867
92 1 33 -0.119297 33.263797 6.910941 15.274681
93 1 79 1.089277 34.744487 8.053327 17.107708
94 1 61 -0.616384 36.027197 9.188489 17.239501
95 1 61 -0.616384 35.177092 6.628659 17.962175
96 1 61 -0.616384 33.296735 8.705629 17.762267
97 1 33 -0.083444 39.783047 23.058414 3.903911
98 1 33 -0.09168 38.788480 8.964422 11.098688
99 2 5 0.23943 17.430099 11.680765 18.317534
100 2 63 -0.107446 17.248761 11.984061 19.701377
101 2 5 0.096748 16.544767 10.512626 17.829254
102 2 33 -0.083444 17.159837 12.800666 17.545932
103 2 33 -0.076564 16.787858 9.407817 18.629218
104 2 33 -0.076564 17.002852 10.223658 16.552808
105 2 5 0.239938 18.357564 12.740693 20.198318
