LAMMPS Description

3865  atoms
3077  bonds
3876  angles
4131  dihedrals
0  impropers

90  atom types
840  bond types
4614  angle types
985  dihedral types
38  improper types

-0.5 40.5 xlo xhi
-0.5 40.5 ylo yhi
-0.5 40.5 zlo zhi

Masses

1 12.01
2 12.01
3 12.01
4 12.01
5 12.01
6 12.01
7 12.01
8 12.01
9 12.01
10 12.01
11 12.01
12 12.01
13 12.01
14 12.01
15 12.01
16 12.01
17 12.01
18 12.01
19 12.01
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008
29 1.008
30 1.008
31 1.008
32 1.008
33 19.00
34 35.45
35 79.90
36 126.9
37 14.01
38 14.01
39 14.01
40 14.01
41 14.01
42 14.01
43 14.01
44 14.01
45 14.01
46 14.01
47 14.01
48 14.01
49 14.01
50 14.01
51 14.01
52 14.01
53 14.01
54 14.01
55 14.01
56 14.01
57 14.01
58 14.01
59 14.01
60 14.01
61 16.00
62 16.00
63 16.00
64 16.00
65 30.97
66 30.97
67 30.97
68 30.97
69 30.97
70 30.97
71 30.97
72 30.97
73 30.97
74 30.97
75 30.97
76 32.06
77 32.06
78 32.06
79 32.06
80 32.06
81 32.06
82 32.06
83 32.06
84 6.94
85 39.10
86 22.99
87 35.45
88 19.00
89 79.90
90 126.9

Atoms

1 1 5 0.23943 22.136021 17.804873 11.482064
2 1 63 -0.107446 23.211371 18.629028 11.030087
3 1 5 0.096748 22.561906 16.345740 11.758347
4 1 33 -0.083444 21.582558 18.336379 12.636955
5 1 33 -0.076564 23.151765 15.832081 10.614732
6 1 33 -0.076564 21.376054 15.659403 11.971318
7 1 5 0.239938 22.706532 19.805112 10.389110
8 1 5 0.031579 23.822512 20.857355 10.175499
9 1 33 -0.098346 21.705071 20.386170 11.159546
10 1 33 -0.098346 22.190143 19.470209 9.144107
11 1 5 0.417302 23.233244 22.156448 9.552377
12 1 63 -0.075238 24.781767 20.305595 9.278765
13 1 33 -0.094088 24.357855 21.150189 11.426639
14 1 33 -0.120596 22.649758 21.888232 8.326149
15 1 33 -0.120596 24.214733 23.106725 9.356057
16 1 33 -0.120596 22.278218 22.713557 10.384295
17 1 5 0.258717 26.134250 20.615892 9.580667
18 1 5 0.054096 26.984666 20.399966 8.321881
19 1 33 -0.09756 26.587003 19.768086 10.577451
20 1 33 -0.09756 26.309027 21.928679 9.993489
21 1 33 -0.120109 26.888903 19.079822 7.919845
22 1 33 -0.120109 28.308974 20.680493 8.608130
23 1 79 1.069374 26.449342 21.469808 6.936563
24 1 61 -0.610284 24.851633 21.034021 6.483211
25 1 61 -0.610284 27.540010 21.204871 5.637534
26 1 61 -0.610284 26.513626 23.112900 7.433107
27 1 5 0.244615 23.501916 16.111822 12.988027
28 1 33 -0.110109 24.738748 16.685872 12.747470
29 1 5 0.166751 23.659155 14.584785 13.284664
30 1 33 -0.110109 22.943698 16.714273 14.103105
31 1 33 -0.087619 24.214126 13.968956 12.174111
32 1 33 -0.087619 22.388132 14.069062 13.474696
33 1 5 0.133435 24.518843 14.218188 14.541725
34 1 33 -0.056543 25.827942 14.603379 14.322421
35 1 5 0.043406 24.425732 12.682774 14.852920
36 1 33 -0.056543 24.040737 14.909426 15.642754
37 1 33 -0.026439 24.801491 11.968778 13.725387
38 1 33 -0.026439 23.086338 12.425437 15.087919
39 1 5 -0.042189 25.298559 12.156171 16.060330
40 1 63 -0.05899 26.651300 12.407190 15.651475
41 1 5 0.198119 24.772770 10.686427 16.457198
42 1 33 -0.033517 25.050859 12.957109 17.162970
43 1 33 -0.070849 24.803383 9.857017 15.347929
44 1 33 -0.070849 23.438018 10.870388 16.773792
45 1 5 0.047327 27.638785 11.409484 15.778723
46 1 5 0.014492 28.924478 11.850873 15.042423
47 1 33 -0.023915 27.239286 10.214525 15.208350
48 1 33 -0.023915 27.973473 11.263444 17.113757
49 1 5 0.258874 28.693913 12.120379 13.539750
50 1 63 -0.046319 29.863742 10.783877 15.152018
51 1 33 -0.052305 29.360885 13.037036 15.630324
52 1 33 -0.07104 28.225747 10.984629 12.902882
53 1 33 -0.07104 29.885352 12.493417 12.945662
54 1 33 -0.07104 27.785841 13.143395 13.353541
55 1 5 0.242379 31.116664 11.143690 15.701708
56 1 5 0.030285 32.050107 9.929641 15.625697
57 1 33 -0.097617 30.967438 11.497373 17.034108
58 1 33 -0.097617 31.694430 12.192291 15.000490
59 1 33 -0.112266 31.502057 8.879203 16.341015
60 1 33 -0.112266 33.274833 10.252657 16.181776
61 1 79 1.088381 32.317750 9.384064 13.901278
62 1 61 -0.614813 30.816193 8.911101 13.213550
63 1 61 -0.614813 33.378204 8.034463 13.912831
64 1 61 -0.614813 33.017254 10.666210 12.996428
65 1 5 0.224162 25.346564 9.895378 17.699631
66 1 33 -0.097154 26.578251 9.349608 17.418736
67 1 5 0.152641 24.403964 8.707520 18.109157
68 1 33 -0.097154 25.467404 10.755561 18.777790
69 1 33 -0.114533 24.190307 7.912335 16.993655
70 1 33 -0.114533 23.187902 9.242171 18.505658
71 1 5 0.169008 24.929765 7.790422 19.265402
72 1 63 -0.058703 26.164373 7.217895 18.822078
73 1 5 0.283965 23.823496 6.728463 19.614414
74 1 33 -0.097241 25.154341 8.584712 20.379801
75 1 33 -0.09168 23.603169 5.884517 18.539852
76 1 33 -0.09168 22.628059 7.344989 19.938100
77 1 5 0.211916 26.712057 6.193898 19.641538
78 1 5 0.001658 28.218904 6.012167 19.352688
79 1 33 -0.094681 26.077978 4.991349 19.367669
80 1 33 -0.094681 26.589684 6.496435 20.991031
